Date,Price,Open,High,Low,Vol.,Change %
3-Sep-17,9840.00,10230.00,10230.00,9730.00,3.20K,-0.01
27-Aug-17,9950.00,9630.00,10070.00,9580.00,16.55K,0.02
20-Aug-17,9800.00,9585.00,9845.00,9500.00,48.82K,0.03
13-Aug-17,9510.00,9370.00,9545.00,9210.00,72.23K,0.04
6-Aug-17,9130.00,9130.00,9130.00,9130.00,,0.00
30-Jul-17,9130.00,9130.00,9130.00,9130.00,,0.00
23-Jul-17,9130.00,9130.00,9130.00,9130.00,,0.00
16-Jul-17,9130.00,8980.00,9285.00,8980.00,0.00K,0.02
9-Jul-17,8950.00,8950.00,8950.00,8950.00,,0.00
2-Jul-17,8950.00,8950.00,8950.00,8950.00,,0.00
25-Jun-17,8950.00,8950.00,8950.00,8950.00,,0.00
18-Jun-17,8950.00,9965.00,9965.00,8585.00,0.02K,-0.06
11-Jun-17,9500.00,9500.00,9500.00,9500.00,,0.01
4-Jun-17,9365.00,9365.00,9365.00,9365.00,,0.00
28-May-17,9365.00,9365.00,9365.00,9365.00,0.01K,0.05
21-May-17,8930.00,9150.00,9150.00,8780.00,0.01K,0.02
14-May-17,8725.00,8800.00,8900.00,8785.00,0.82K,0.01
7-May-17,8675.00,8800.00,8800.00,8600.00,0.49K,0.00
30-Apr-17,8650.00,8760.00,8940.00,8630.00,2.24K,-0.02
23-Apr-17,8850.00,8810.00,8900.00,8695.00,20.73K,-0.01
16-Apr-17,8955.00,8970.00,9035.00,8870.00,29.82K,-0.10
9-Apr-17,9915.00,9915.00,9915.00,9915.00,,0.00
2-Apr-17,9915.00,9915.00,9915.00,9915.00,,0.00
26-Mar-17,9915.00,9915.00,9915.00,9915.00,,0.00
19-Mar-17,9915.00,9915.00,9915.00,9915.00,,0.00
12-Mar-17,9915.00,9915.00,9915.00,9915.00,,0.11
5-Mar-17,8950.00,8965.00,8965.00,8950.00,0.01K,0.00
26-Feb-17,8965.00,8965.00,8965.00,8965.00,0.01K,-0.13
19-Feb-17,10250.00,10250.00,10250.00,10250.00,,0.00
12-Feb-17,10250.00,10250.00,10250.00,10250.00,,-0.05
5-Feb-17,10790.00,10790.00,10790.00,10790.00,,0.00
29-Jan-17,10790.00,10790.00,10790.00,10790.00,,0.00
22-Jan-17,10790.00,10085.00,10790.00,10085.00,0.00K,0.12
15-Jan-17,9615.00,9800.00,10100.00,9600.00,0.34K,-0.02
8-Jan-17,9835.00,9505.00,9940.00,9460.00,1.18K,0.03
1-Jan-17,9555.00,9820.00,9820.00,9460.00,1.85K,-0.02
25-Dec-16,9780.00,9795.00,10095.00,9650.00,8.51K,0.00
18-Dec-16,9755.00,10000.00,10035.00,9650.00,17.33K,-0.04
11-Dec-16,10115.00,10155.00,10270.00,9980.00,17.97K,0.03
4-Dec-16,9840.00,9840.00,9840.00,9840.00,,0.00
27-Nov-16,9840.00,9840.00,9840.00,9840.00,,0.00
20-Nov-16,9840.00,10075.00,10075.00,9610.00,0.00K,0.02
13-Nov-16,9660.00,9660.00,9660.00,9660.00,,0.02
6-Nov-16,9450.00,9450.00,9450.00,9450.00,,0.00
30-Oct-16,9450.00,9450.00,9450.00,9450.00,,0.00
23-Oct-16,9450.00,9270.00,9450.00,9270.00,0.00K,0.07
16-Oct-16,8870.00,8870.00,8870.00,8870.00,,0.00
9-Oct-16,8870.00,8870.00,8870.00,8870.00,,0.00
25-Sep-16,8870.00,8870.00,8870.00,8870.00,0.00K,0.05
